age,genre,genre_autre,niveau_etude,ville,ville_autre,quartier,logement,climatisation,vagues_intenses,conseq_sante,menace_env,vulnerable,logement_protection,crainte_futur,parcs_efficace,eau_publique,arbres_inutile,trouver_endroits_frais,difficile_comportements,acces_parcs,transport_chaud,valoriser_espaces_verts,soutenir_politiques,prefere_interieur,contre_reduction_voiture,espaces_agreables,proteger_acces_eau,municipalite_responsable,intention_frequent_parcs,intention_soutenir_initiatives,pas_intention_s_informer,intention_comportements_eco,pas_intention_transport_actif,motivation_si_municipalite,freq_parcs,freq_parcs_na,activite_verdissement,activite_verdissement_na,petition_contact,petition_contact_na,reduire_eau,reduire_eau_na,transport_alternatif,transport_alternatif_na,compost,compost_na,refroidissement_passif,refroidissement_passif_na,commentaires,id,score_risque_chaleur,score_efficacite,score_attitude_env,score_intention_env,score_comportements
25-34,femme,,universitaire,autre,Quebec,centre_dense,app_petit,non,5,4,1,3,4.0,4.0,5,4.0,5,3,4,4,5,5,5,3,4,5,5,3,4,5,4.0,5.0,5,4,5.0,,2,,1,,4.0,,5,,5,,4,,,b2df998b-46de-42e0-b098-f77d26f509ea,3.5,4.285714285714286,4.285714285714286,4.5,3.7142857142857144
25-34,femme,,universitaire,Montréal,,urbain_dense,maison_rangee,oui,4,3,1,2,4.0,5.0,3,5.0,5,2,3,4,1,5,5,1,5,5,5,5,1,1,1.0,2.0,2,5,3.0,,1,,1,,1.0,,5,,2,,1,,,39a0887c-1f96-4b96-9ec5-85a5f31c5782,3.1666666666666665,3.2857142857142856,4.428571428571429,2.0,2.0
50-64,femme,,universitaire,Montréal,,urbain_dense,app_petit,non,4,5,2,4,4.0,4.0,5,5.0,5,4,4,4,4,5,5,3,5,5,5,2,4,5,5.0,5.0,5,5,3.0,,2,,1,,4.0,,5,,5,,3,,,c7da89e8-f4a0-4d91-ba18-d044648c6ad3,3.8333333333333335,4.428571428571429,4.285714285714286,4.833333333333333,3.2857142857142856
25-34,femme,,universitaire,autre,Rigaud,banlieue,maison_uni,oui,4,3,4,2,1.0,3.0,3,4.0,5,5,4,4,4,5,5,3,3,5,5,4,4,4,3.0,4.0,2,3,4.0,,2,,1,,3.0,,2,,4,,3,,,82dd7b5e-8275-4b2d-90ce-8d0067724210,2.8333333333333335,4.142857142857143,4.285714285714286,3.3333333333333335,2.7142857142857144
,homme,,universitaire,Trois-Rivières,,urbain_dense,app_petit,non,5,3,1,4,3.0,4.0,5,5.0,5,5,4,5,4,5,4,4,3,4,5,4,5,4,5.0,4.0,4,4,3.0,,1,,1,,2.0,,3,,1,,2,,,45bd3fbc-73b9-4834-9779-2d88f01506ef,3.3333333333333335,4.714285714285714,4.142857142857143,4.333333333333333,1.8571428571428572
25-34,femme,,universitaire,autre,Sainte-Martine,banlieue,maison_uni,oui,5,4,4,4,1.0,5.0,2,4.0,5,3,4,4,3,5,5,3,4,4,4,4,4,4,4.0,5.0,4,4,3.0,,5,,4,,4.0,,4,,5,,3,,,9ca6ec48-ce63-484e-9162-af285dfe4945,3.8333333333333335,3.5714285714285716,4.142857142857143,4.166666666666667,4.0
65+,femme,,secondaire,Trois-Rivières,,urbain_dense,app_grand,non,3,2,4,4,4.0,5.0,5,5.0,5,4,2,5,5,5,5,1,1,5,5,2,3,4,5.0,5.0,5,5,4.0,,1,,3,,3.0,,5,,1,,5,,,87fc14c4-03b2-4757-94eb-27bc979e9c5d,3.6666666666666665,4.428571428571429,3.4285714285714284,4.5,3.142857142857143
25-34,femme,,universitaire,autre,Québec,urbain_dense,app_petit,non,4,3,2,2,3.0,4.0,4,5.0,5,5,4,4,4,5,5,3,5,5,5,4,4,4,4.0,5.0,4,3,3.0,,1,,1,,5.0,,4,,5,,5,,,45b52f2e-b569-431f-b366-74aac22d8eee,3.0,4.428571428571429,4.571428571428571,4.0,3.4285714285714284
35-49,femme,,universitaire,autre,Shawinigan,banlieue,maison_uni,oui,5,3,1,3,1.0,5.0,5,4.0,5,5,5,1,5,5,5,1,5,5,5,3,5,5,5.0,5.0,5,5,4.0,,1,,5,,5.0,,5,,5,,2,,,5f6c4ed6-c510-4da5-9460-fbb1c83e1339,3.0,4.285714285714286,4.142857142857143,5.0,3.857142857142857
35-49,femme,,universitaire,Trois-Rivières,,res_moderate,maison_uni,oui,4,2,2,4,2.0,4.0,4,5.0,5,4,2,5,4,5,5,1,3,4,4,4,4,4,5.0,5.0,3,4,3.0,,1,,1,,1.0,,5,,5,,3,,,4f0a4325-16f9-4feb-afc0-de3dd9f9f092,3.0,4.142857142857143,3.7142857142857144,4.166666666666667,2.7142857142857144
,femme,,collegial,Trois-Rivières,,centre_dense,app_petit,non,4,4,4,4,4.0,5.0,5,5.0,4,4,4,4,2,5,4,4,2,4,4,4,4,4,,4.0,4,4,4.0,,4,,4,,2.0,,4,,4,,4,,,61ff320f-2e35-48cd-a4f4-1792530c6f2e,4.166666666666667,4.0,3.857142857142857,4.0,3.7142857142857144
18-24,femme,,universitaire,autre,Drummondville,res_moderate,app_petit,oui,5,5,3,3,1.0,4.0,4,4.0,5,5,3,5,4,5,5,4,4,5,5,3,5,5,5.0,5.0,5,4,4.0,,4,,3,,4.0,,5,,5,,2,,,515b56aa-d143-4344-bffc-a3d98911f66b,3.5,4.285714285714286,4.428571428571429,4.833333333333333,3.857142857142857
25-34,femme,,universitaire,Trois-Rivières,,res_moderate,app_petit,non,4,4,4,2,2.0,4.0,4,5.0,5,4,5,4,4,5,5,2,5,5,4,3,3,5,2.0,5.0,4,4,4.0,,1,,1,,4.0,,4,,5,,4,,,aeafe93e-1fa5-4a57-994c-1fa7a5cbf7ac,3.3333333333333335,4.428571428571429,4.142857142857143,3.8333333333333335,3.2857142857142856
18-24,femme,,universitaire,Trois-Rivières,,urbain_dense,app_petit,non,5,3,3,4,4.0,3.0,5,3.0,5,5,3,3,3,5,5,3,3,5,3,4,3,2,3.0,2.0,3,5,5.0,,1,,1,,3.0,,3,,5,,5,,,2a146485-8411-419c-8539-b0e7eded3e5a,3.6666666666666665,3.857142857142857,4.0,3.0,3.2857142857142856
,homme,,universitaire,Trois-Rivières,,urbain_dense,app_petit,oui,5,3,5,4,3.0,,3,3.0,4,4,4,4,3,4,4,1,3,4,4,4,3,3,2.0,4.0,3,4,1.0,,1,,2,,3.0,,3,,4,,1,,,340b2e6a-557c-44e7-b721-0802b39a36ce,4.0,3.5714285714285716,3.4285714285714284,3.1666666666666665,2.142857142857143
